Account Length,International Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,International Mins,International Calls,CustServ Calls,Churn,Total Mins,Total Calls,Avg Day Call Duration,Avg Eve Call Duration,Avg Night Call Duration,Avg International Call Duration,Avg Call Duration,CustServ Calls Ratio,International Mins Ratio,International Calls Ratio,VMail Message Ratio,High CustServ Calls,High Total Mins,High Total Calls,Tenure Category Numeric,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY,AreaCode_415,AreaCode_510
128,0,1,25.0,265.1,110,197.4,99.0,244.7,91,10.0,3.0,1,0,717.2,303,2.41,1.993939393939394,2.689010989010989,3.3333333333333335,2.366996699669967,0.0033003300330033004,0.013943112102621304,0.009900990099009901,0.4807692307692308,0,1,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
107,0,1,26.0,161.6,123,195.5,103.0,254.4,103,13.7,3.0,1,0,625.2,332,1.313821138211382,1.8980582524271845,2.469902912621359,4.566666666666666,1.883132530120482,0.0030120481927710845,0.021912987843889953,0.009036144578313253,0.5,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
137,0,0,0.0,243.4,114,121.2,110.0,162.6,104,12.2,5.0,0,0,539.4000000000001,333,2.135087719298246,1.1018181818181818,1.5634615384615385,2.44,1.6198198198198202,0.0,0.022617723396366328,0.015015015015015015,0.0,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
84,1,0,0.0,299.4,71,61.9,88.0,196.9,89,6.6,7.0,2,0,564.8,255,4.2169014084507035,0.7034090909090909,2.2123595505617977,0.9428571428571428,2.2149019607843137,0.00784313725490196,0.011685552407932011,0.027450980392156862,0.0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,1,0,0.0,166.7,113,148.3,122.0,186.9,121,10.1,3.0,3,0,512.0,359,1.475221238938053,1.2155737704918033,1.5446280991735537,3.3666666666666667,1.426183844011142,0.008356545961002786,0.0197265625,0.008356545961002786,0.0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
118,1,0,0.0,223.4,98,220.6,101.0,203.9,118,6.3,6.0,0,0,654.1999999999999,323,2.279591836734694,2.1841584158415843,1.7279661016949153,1.05,2.0253869969040244,0.0,0.00963008254356466,0.018575851393188854,0.0,0,0,0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
121,0,1,24.0,218.2,88,348.5,108.0,212.6,118,7.5,7.0,3,0,786.8000000000001,321,2.4795454545454545,3.2268518518518516,1.8016949152542372,1.0714285714285714,2.451090342679128,0.009345794392523364,0.009532282663955262,0.021806853582554516,0.46153846153846156,0,1,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
147,1,0,0.0,157.0,79,103.1,94.0,211.8,96,7.1,6.0,0,0,479.00000000000006,275,1.9873417721518987,1.0968085106382979,2.2062500000000003,1.1833333333333333,1.741818181818182,0.0,0.014822546972860123,0.02181818181818182,0.0,0,0,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
117,0,0,0.0,184.5,97,351.6,80.0,215.8,90,8.7,4.0,1,0,760.6000000000001,271,1.902061855670103,4.3950000000000005,2.397777777777778,2.175,2.8066420664206646,0.0036900369003690036,0.011438338154088875,0.014760147601476014,0.0,0,1,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
141,1,1,37.0,258.6,84,222.0,111.0,326.4,97,11.2,5.0,0,0,818.2,297,3.0785714285714287,2.0,3.364948453608247,2.2399999999999998,2.754882154882155,0.0,0.013688584698117817,0.016835016835016835,0.7115384615384616,0,1,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
